head/coords/0,head/coords/1,lankle/coords/0,lankle/coords/1,lelbow/coords/0,lelbow/coords/1,lhip/coords/0,lhip/coords/1,lknee/coords/0,lknee/coords/1,lshoulder/coords/0,lshoulder/coords/1,lwrist/coords/0,lwrist/coords/1,pelvis/coords/0,pelvis/coords/1,rankle/coords/0,rankle/coords/1,relbow/coords/0,relbow/coords/1,rhip/coords/0,rhip/coords/1,rknee/coords/0,rknee/coords/1,rshoulder/coords/0,rshoulder/coords/1,rwrist/coords/0,rwrist/coords/1,thorax/coords/0,thorax/coords/1,upperneck/coords/0,upperneck/coords/1
276.5894509,34.3226624,317.1085741,415.4070662,365.1443482,128.30616,317.8978918,238.1089018,323.7164691,334.4056128,316.5199853,114.4010541,409.1180038,125.2854918,301.2003136,235.5444333,274.7597696,433.4058669,210.5321504,134.0758515,287.8198816,249.6488,286.7750547,340.9256742,267.498169,114.9488832,158.6621664,137.6589965,287.4024198,114.7840122,296.692848,96.16447424
276.7193222,34.34913664,317.0494842,415.1959994,362.590103,128.8698195,317.7206227,238.2180403,323.4315488,334.3574522,316.0756493,114.433136,405.6052019,126.3319398,301.0594752,235.6440352,274.6658515,433.3635328,208.8672256,134.4166182,287.5468256,249.6462253,286.5460205,340.8590317,267.6085088,114.6880723,155.7685754,138.9160922,287.2952845,114.8192218,296.7407034,96.28612544
276.9515994,34.37664,316.967449,414.9967098,359.865799,129.4917677,317.5178144,238.439865,323.1746291,334.3655776,315.6721306,114.4671251,402.1339418,127.3369978,300.8685683,235.8499142,274.5844077,433.3531949,207.5121114,134.6849062,287.2481158,249.6969984,286.3148499,340.8275603,267.7820397,114.4778445,153.0709741,140.1740646,287.1727565,114.8978426,296.7209626,96.42963392
277.2879603,34.36882048,316.874256,414.8240474,357.0623014,130.156441,317.309017,238.778,322.9533005,334.4780538,315.3205491,114.4897082,398.778839,128.2691194,300.6493184,236.1640928,274.5274925,433.3778189,206.4949037,134.9083712,286.9536589,249.8159411,286.1157037,340.8189773,267.9943277,114.293175,150.616064,141.4811328,287.0549581,115.0180435,296.6500666,96.5703584
277.7147482,34.30442816,316.7852211,414.6873094,354.2968371,130.838089,317.1162989,239.2151258,322.7703098,334.7263142,315.0276563,114.4924928,395.6209562,129.1020582,300.426407,236.5709306,274.5038413,433.4370234,205.8110618,135.1184083,286.6878317,250.0058746,285.9782413,340.820713,268.2131955,114.1165926,148.4491731,142.859497,286.9617843,115.1743699,296.5447424,96.68693568
278.2007789,34.1779328,316.7162707,414.589472,351.699104,131.503639,316.9604685,239.7148896,322.6247405,335.1132205,314.7959136,114.4714739,392.7429965,129.8183821,300.2227213,237.0381165,274.516487,433.5274317,205.4260634,135.3458784,286.4658739,250.256233,285.9206963,340.8226202,268.4043315,113.9421082,146.6073325,144.3035507,286.9080544,115.3567885,296.4204787,96.76395392
278.6992454,33.99742144,316.6804506,414.5277402,349.3928525,132.1173478,316.8566323,240.2282144,322.5132371,335.6087878,314.6228218,114.4258496,390.2224352,130.4112243,300.0547219,237.5225446,274.5617101,433.6431693,205.2832032,135.6157306,286.2924768,250.5454253,285.9453395,340.8183098,268.5382842,113.7748717,145.1142502,145.782585,286.8997958,115.5505754,296.2908173,96.7932128
279.1542246,33.78051776,316.6845702,414.495001,347.477417,132.6459501,316.8106458,240.7031443,322.4306106,336.155319,314.5002368,114.3569184,388.1234739,130.8840563,299.9287603,237.9784774,274.6298029,433.7763405,205.3142547,135.9424589,286.1628915,250.8460998,286.0372352,340.8045958,268.596935,113.626976,143.9772986,147.2472384,286.9329837,115.7383731,296.167145,96.77421568
279.5104979,33.54999552,316.7276,414.4817926,346.0129926,133.0638125,316.8174931,241.0952378,322.3702624,336.6802598,314.4146726,114.2676928,386.4888762,131.2488557,299.8398592,238.3666995,274.7072794,433.9173984,205.4506682,136.3271334,286.0652736,251.131344,286.1670874,340.7801626,268.5772134,113.5122682,143.1862163,148.6382675,286.9949722,115.9028627,296.0588454,96.7131424
279.7242163,33.32946752,316.8006899,414.4783974,345.0136186,133.3569338,316.8622778,241.3759424,322.324791,337.1127699,314.3486784,114.1627123,385.3340909,131.5232083,299.7733498,238.6617658,274.780121,434.0555859,205.6324768,136.7572787,285.9844781,251.3799667,286.2973024,340.7446099,268.4907533,113.441353,142.7136038,149.8957824,287.068119,116.0304262,295.9729382,96.62158976
279.7715571,33.1397248,316.8892288,414.4767859,344.4491194,133.5246656,316.9236186,241.5367507,322.287216,337.3993875,314.2835238,114.0486528,384.6443558,131.7269517,299.7094342,238.8552474,274.8366931,434.1796685,205.813904,137.2086714,285.9064102,251.5792467,286.3902662,340.6977466,268.35968,113.4184262,142.5175098,150.9677504,287.1339226,116.1137389,295.9133146,96.51428224
279.6536634,32.99556736,316.9762042,414.4723322,344.2545702,133.5790637,316.978512,241.5884973,322.2522733,337.514496,314.2023846,113.9344787,384.3761824,131.8785856,299.6294022,238.9546586,274.8701478,434.2791366,205.9654618,137.6495744,285.8222771,251.7249107,286.4168928,340.6399917,268.2102586,113.4410477,142.5459763,151.8159866,287.1765901,116.1529542,295.879879,96.40708928
